key,en,es,fr,ar
EditingResults_logging,"Session {} lifting on {}, editing","Tanda {} Levantando {}, edición","Plateau {} lève sur plateform {}, édition","الجلسة {} ترفع على {}، تحرير"
Group_number,Session {0},Tanda {0},Plateau {0},الجلسة {0}
Scoreboard.GroupLiftType,Session {0} {1},Tanda {0} {1},Plateau {0} {1},الجلسة {0} {1}
Results.GroupLiftType,Session {0} {1},Tanda {0} {1},Plateau  {0} {1},الجلسة {0} {1}
Group_number_results,Session {0} &ndash; Results,Tanda {0} &ndash; Resultados,Plateau  {0} &ndash; Résultats,الجلسة {0} &ndash; النتائج
Group_number_done,Session {0} done.,Tanda {0} Terminada.,Plateau {0} terminé.,الجلسة {0} انتهت.
GroupResults,Session Results,Resultados de Tanda,Résultats de plateau,نتائج الجلسة
Preparation_Groups,Sessions,Tandas,Plateaux,الجلسات
EVENT_DecisionReset,hide decisions,Ocultar decisiones,cacher les décisions,إخفاء القرارات
Home,Home,Inicio,Accueil,الرئيسية
IdlePlatform,Idle Platform (no countdown displayed),Plataforma Inactiva (Sin Pantalla de cuenta regresiva),Plateau inactif (pas de décompte affiché),منصة خاملة (لا يُعرض عد تنازلي)
Competition.teamSizeExplanation,"If a team size is given, the top point scores from team members are used, until the given team size is reached. If empty, the points from all team members are counted.","Si se da un tamaño de equipo, se usan las puntuaciones máximas de los miembros del equipo, hasta que se alcanza el tamaño del equipo dado.  Si está vacío, se cuentan los puntos de جميع أعضاء الفريق.","Si une taille d'équipe est donnée, les meilleurs n résultats des équipiers sont retenus jusqu'à concurrence de la taille d'équipe. Si vide, les points de tous les équipiers sont comptés.","إذا تم إعطاء حجم الفريق، تُستخدم أعلى نقاط من أعضاء الفريق، حتى الوصول لحجم الفريق المحدد. إذا كان فارغاً، تُحسب نقاط جميع أعضاء الفريق."
refereeingDevices,"If refereeing devices are used, they are usually connected to this display.","Si se utilizan pulsadores para los árbitros, por favor que estén conectados a esta pantalla.","Si des claviers d'arbitrage sont utilisés,  ils sont normalement connectés à cet appareil.","إذا تم استخدام أجهزة التحكيم، فعادة ما تكون متصلة بهذه الشاشة."
Competition.genderOrder,"In mixed sessions, session athletes by gender","En tandas mixtas, atletas grupales por sexo","Dans les plateaux mixtes, regrouper les athlètes par genre.","في الجلسات المختلطة، تجميع الرياضيين حسب الجنس."
LoginDenied,Incorrect Access Information Provided.,Informacion de Acceso incorrecta.,Information d'accès incorrecte,معلومات الوصول المقدمة غير صحيحة.
CeremonyType.INTRODUCTION,Introduction,Introducción,Présentation,التقديم
PublicMsg.DuringIntroduction,Introduction,Introducción,Présentation,التقديم
InvalidYearFormat,Invalid year format (4 digits expected),Formato de año no valido (4 digitos esperados),Format d'année invalide (4 chiffres attendus),تنسيق السنة غير صالح (مطلوب 4 أرقام)
Competition.invitedIfBornBefore,Invited if born before,Invitado si es nacido antes de,Invité si né avant,مدعو إذا ولد قبل
Division.IWF,IWF,IWF,IWF,الاتحاد الدولي
Translator,Jean-François Lamy,Carlos Mora,Jean-François Lamy,جان-فرانسوا لامي
JFL,Jean-François Lamy,Jean-François Lamy,Jean-François Lamy,جان-فرانسوا لامي
AgeGroup.JR,JR,JR,JR,صغار
Scoreboard.Jr,Jr,Jr,Jr,صغار
Results.Jr,Jr,Jr,Jr,صغار
Jury,Jury,Jurado,Jury,اللجنة
Jury1,Jury 1,Jurado 1,Jury 1,لجنة 1
Jury2,Jury 2,Jurado 2,Jury 2,لجنة 2
Jury3,Jury 3,Jurado 3,Jury 3,لجنة 3
Jury4,Jury 4,Jurado 4,Jury 4,لجنة 4
Jury5,Jury 5,Jurado 5,Jury 5,لجنة 5
Jury_Console,Jury Console,Jurado,Console du jury,وحدة تحكم اللجنة
BreakType.JURY,Jury Deliberation,Deliberación del Jurado,Délibération du jury,تداول اللجنة
JuryDecisions,Jury Decisions,Decisiones del jurado,Décisions du jury,قرارات اللجنة
PublicMsg.JuryDeliberation,Jury Deliberation,Deliberación del Jurado,Délibération du jury,تداول اللجنة
BreakButton.JuryDeliberation,Jury Deliberation,Deliberación del Jurado,Délibération du jury,تداول اللجنة
KgSymbol,\u00a0kg,\u00a0kg,\u00a0kg,\u00a0كجم
Scoreboard.KgSymbol,\u00a0kg,\u00a0kg,\u00a0kg,\u00a0كجم
Results.KgSymbol,\u0020kg,\u0020kg,\u0020kg,\u0020كجم
Scoreboard.Needed,Kg Needed,kg Necesario,kg Requis,الكيلو المطلوب
Results.Needed,Kg Needed,kg Necesario,kg Requis,الكيلو المطلوب
LastName,Last Name,Apellido,Nom,اسم العائلة
Leaders,Leaders,Líderes,Meneurs,القادة
Scoreboard.Leaders,Leaders:,Líderes,Meneurs: ,القادة:
Results.Leaders,Leaders:,Líderes,Meneurs: ,القادة:
RuleViolation.declaredChangesNotOk,Lift {0} : Value {1} for changes must be greater than or equal to the automatic progression ({2}).,Levantamiento {0} : El valor {1} para los cambios debe ser mayor o igual que la progresión automótica ({2}).,Lever {0} : Le changement {1} doit être plus grand ou égal au poids de la progression automatique ({2}).,الرفعة {0}: القيمة {1} للتغييرات يجب أن تكون أكبر من أو تساوي التقدم التلقائي ({2}).
RuleViolation.declarationValueTooSmall,Lift {0} : Value {1} for declaration must be greater than or equal to the automatic progression ({2}).,Levantamiento {0} : El valor {1} declarado debe ser mayor o igual que la progresión automótica ({2}),Lever {0} : Le poids {1} déclaré doit être plus grand ou égal au poids de la progression automatique ({2}),الرفعة {0}: القيمة {1} للإعلان يجب أن تكون أكبر من أو تساوي التقدم التلقائي ({2}).
RuleViolation.liftValueBelowProgression,Lift {0} : Value {1} for lift must be greater than or equal to the automatic progression ({2}).,Levantamiento {0} : El valor {1} para el levantamiento debe ser mayor o igual que la progresión automótica ({2}).,Lever {0} : Le lever ({1}) doit être plus grand ou égal au poids de la progression automatique ({2}).,الرفعة {0}: القيمة {1} للرفعة يجب أن تكون أكبر من أو تساوي التقدم التلقائي ({2}).
RuleViolation.liftValueNotWhatWasRequested,Lift {0} : Value {1} for lift must match requested amount ({2}).,Levantamiento {0} : El valor {1} para el levantamiento debe coincidir مع القيمة المطلوبة ({2}).,Lever {0} : Le poids {1} du lever doit correspondre au poids demandé ({2}).,الرفعة {0}: القيمة {1} للرفعة يجب أن تطابق الكمية المطلوبة ({2}).
Scoreboard.LiftingOrder,Lifting Order,Orden de competencia,Ordre de passage,ترتيب الرفع
Results.LiftingOrder,Lifting Order,Orden de competencia,Ordre de passage,ترتيب الرفع
LiftsCleared,Lifts cleared,Levantamientos borrados,Les essais ont été effacés,تم مسح الرفعات
EVENT_SwitchGroup,Ioad a session,Cargar una tanda,choisir un plateau,تحميل جلسة
ResetCategories.ReloadAgeGroups,Load Definition File,Cargar archivo de تعريف,Charger fichier de définition,تحميل ملف التعريف
Locale,Locale,Lugar,Locale,اللغة
Log_In,Log in,Iniciar Tanda,Identification,تسجيل الدخول
Login,Login,Iniciar Tanda,Identification,تسجيل الدخول
Competition.logo,Logo,Logo,Logo,الشعار
Card.lotNumber,Lot,Nº Sorteo,Tirage,رقم السحب
Lot,Lot,Sorteo,Tirage,سحب
Results.Lot,Lot,Sorteo,Sort,نتيجة السحب
CompetitionBook.MWT,M+W Total Score,M+F Puntuación Total,M+F Pointage Total,النتيجة الإجمالية للرجال والنساء
Marshall,Marshal,Marshal,Marshal,المراقب
Competition.masters,Masters,Masters,Masters,الماجستير
Division.MASTERS,Masters,Masters,Masters,الماجستير
Competition.mastersGenderEquality,Masters: use W75 and W80+ age groups,Masters: use los grupos de edad W75 y W80+,Masters: utiliser groupes d'âge W75 et W80+,الماجستير: استخدم مجموعات الأعمار W75 و W80+
Results.max,Max,Max,Max,الحد الأقصى
MaximumAge,Maximum Age (incl.),Edad Maxima (incl.),Âge maximum (incl.),الحد الأقصى للعمر (شامل)
MaximumWeight,Maximum Weight,Peso Máximo,Poids maximum,الحد الأقصى للوزن
MedalsOnly,Medals Only,Solo Medallas,Médailles seulement,الميداليات فقط
Results.Membership,Memb.,Código,# Fed.,العضوية
Membership,Membership #,Código,Nº membre,العضوية
Gender.Men,Men,Varones,Hommes,الرجال
CompetitionBook.MCT,Men - Combined Score,Puntaje combinado - Varones,Hommes - Pointage Combiné,الرجال - النقاط المجمعة
Results.MenPerTeam,Men per Team,Varones por Equipos,Hommes par équipe,الرجال في الفريق
Competition.mensTeamSize,"Men's ""Top Results"" Team Size","Varones "" Mejores n resultados "" Tamaño del Equipo",Utiliser n meilleurs résultats,حجم الفريق للرجال
CompetitionBook.M6,Men's Results,Resultados Varones,Hommes 6 essais,نتائج الرجال
CompetitionBook.MR,Men's Robi,Robi Varones,Hommes Robi,روبي للرجال
CompetitionBook.MG,Men's GAMX,GAMX Varones,Hommes GAMX,غاما إكس للرجال
CompetitionBook.MS,Men's Sinclair,Sinclair Varones,Hommes Sinclair,سينكلير للرجال
CompetitionBook.MSMF,Men's SMF,SMF Masculino,Hommes SMF,SMF للرجال
CompetitionBook.MT,Men's Total Score,Puntos Total Varones,Hommes - Pointage Total,إجمالي نقاط الرجال
Men + Women,Men+Women - Combined Score,Damas y Varones - Puntuación Combinada,Hommes et Femmes - Pointage Combiné,الرجال والنساء - النقاط المجمعة
MetalPlates,Metal Plates,Pesas de metal,Disques de métal,أقراص معدنية
MinimumAge,Minimum Age (incl.),Edad Minima (incl.),Age minimum (incl.),الحد الأدنى للعمر (شامل)
MinimumWeight,Minimum Weight,Peso Máximo,Poids minimum,الحد الأدنى للوزن
Card.name,Name,Nombre,Nom,الاسم
Competition.competitionName,Name,Nombre,Nom,اسم البطولة
Name,Name,Nombre,Nom,الاسم
Scoreboard.Name,Name,Nombre,Nom,الاسم
Results.Name,Name,Nombre,Nom,الاسم
Scoreboard.NextAttempt,Next Attempt,Próximo Intento,Prochain essai,المحاولة التالية
Results.NextAttempt,Next Attempt,Próximo Intento,Prochain essai,المحاولة التالية
NoGroupSelected,No session selected,Sin Tanda Seleccionada,Pas de plateau sélectionné,لا توجد جلسة محددة
No_weighed_in_athletes,No weighed-in athletes,Atleta sin Peso,Pas d'athlètes pesés,لا يوجد رياضيين تم وزنهم
NonStandardBar,Non-Standard Bar,Barra no estandar,Barre non-standard,بار غير قياسي
Competition.specialRulesTitle,Non-standard Rules,Reglas no estándar,Règles particulières,قواعد غير قياسية
none,none,Ninguno,aucun,لا شيء
Not_weighed,Not weighed,No Pesado,Non pesé,غير موزون
Notes,Notes,Notas,Notes,ملاحظات
Number,Number,Número,Nº,رقم
Results.Athletes,Number of Athletes,Número de Atletas,Nombre d'athlètes,عدد الرياضيين
Results.Teams,Number of Teams,Número de equipos,Nombre d'équipes,عدد الفرق
Officials,Officials,Oficiales,Officiels,المسؤولون
Division.OLY,Olympics,Olímpico,Olympiques,الأولمبياد
Competition.rulesTitle,Options,Opciones,Options,الخيارات
Competition.competitionOrganizer,Organizer,Organizador,Organisateur,المنظم
OWLCMS_Info,OWLCMS - About,OWLCMS - Acerca de,OWLCMS - Info,حول OWLCMS
OWLCMS_Displays,OWLCMS - Displays,OWLCMS - Monitor,OWLCMS - Affichages,شاشات OWLCMS
OWLCMS_Home,OWLCMS - Home,OWLCMS - Inicio,OWLCMS - Accueil,الصفحة الرئيسية لـ OWLCMS
OWLCMS_Lifting,OWLCMS - Lifting,OWLCMS - Levantamiento,OWLCMS - Plateau,رفع OWLCMS
OWLCMS_Top,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Gestion de compétition d'haltérophilie,نظام إدارة مسابقات رفع الأثقال الأولمبية
OWLCMS_Preparation,OWLCMS - Preparation,OWLCMS - Preparación,OWLCMS - Préparation,تحضير OWLCMS
OWLCMS_Results,OWLCMS - Results,OWLCMS - Resultados,OWLCMS - Résultats,نتائج OWLCMS
OwlcmsBuild,OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),بناء OWLCMS
EVENT_BreakPaused,pause break,Pausa Descanso,interrompre la pause,توقف الاستراحة
PauseCountdown,Pause Break Countdown Timer,Pausa reloj de cuenta regresiva,Stopper le chrono de pause,مؤقت العد التنازلي للاستراحة
BreakButton.Paused,Paused,Pausado,En pause,مؤقت الاستراحة
Plates,Plates,Pesas,Disques,الأقراص
PlatesDisplay,Plates Display,Monitor de Discos,Disques,شاشة الأقراص
Platform,Platform,Plataforma,Plateforme,المنصة
STATE_INACTIVE,platform is inactive,la plataforma está inactiva,la plateforme est inactive,المنصة غير نشطة
PlatformName,Platform Name,Nombre de la plataforma,Nom de la plateforme,اسم المنصة
Preparation_Platforms,Platforms,Plataformas,Plateformes,المنصات
PleaseFix,Please fix the errors and try again.,Por favor corrija los errors e intente nuevamente,Veuillez corriger les erreurs et réessayer,يرجى إصلاح الأخطاء والمحاولة مرة أخرى.
ResetCategories.PleaseSelectDefinitionFile,Please select a definition file,Por favor seleccione un archivo de definición,Choisir un fichier de définition.,يرجى اختيار ملف التعريف.
Select_group_first,Please select a session first.,"Por favor, selecciona primero una tanda.",Il faut d'abord choisir un plateau.,يرجى اختيار جلسة أولاً.
ERROR_WAIT_FOR_RESET,Please wait until decision has been shown. Do not start time when decision is still visible.,Espere حتى se muظهر la decisión. لا تبدأ الوقت عندما تكون القرار لا يزال مرئيًا.,SVP attendre que la décision ait été vue. Ne pas démarrer le chrono quand la décision est visible.
Scoreboard.Points,Points,Puntos,Points,النقاط
TeamResults.Points,Points,Puntos,Points,النقاط
Results.Points,Points,Puntos,Points,النقاط
Results.PointsScored,Points scored for Team,Puntos acumulados por Equipo,Points marqués pour l'équipe,النقاط المسجلة للفريق
PreCompetitionSetup,Pre-competition setup,Configuración Previa a la Competencia,Préparation de la compétition,إعداد ما قبل المنافسة
Preferences,Preferences,Preferencias,Préférences,التفضيلات
PrepareCompetition,Prepare Competition,Preparar la Competencia,Préparer la compétition,تحضير المنافسة
JuryPresident,Jury President,Presidente,Président,رئيس اللجنة
Print,Print,Imprimir,Imprimer,طباعة
ProduceResults,Produce Results,Producir Resultados,Produire les résultats,إنتاج النتائج
Competition.protocolFileName,Protocol Sheet Template,Plantilla de protocolo,Gabarit pour feuille de résultats,قالب ورقة البروتوكول
Config.PublicResultsTitle,Public Results Scoreboard URL,Aplicación en la nube de resultados públicos,Coordonnées du tableau de résultats à distance,عنوان لوحة النتائج العامة
Config.publicResultsURL,publicresults Cloud Application URL,URL de aplicación en la nube de resultados públicos,URL pour application publicresults dans le cloud,رابط تطبيق النتائج العامة
Rank,Rank,Ubic.,Rang,الرتبة
Scoreboard.Rank,Rank,Ubic.,Rang,الرتبة
Results.Rank,Rank,Ubic.,Rang,الرتبة
Results.TeamRank,Rank within Team,Ubic. por equipos,Classement dans l'équipe,الترتيب داخل الفريق
DataRead,Read,Leer,Lu,قراءة
ReadingData_,Reading the data,Leyendo los Datos,Lecture des données,قراءة البيانات
ResetCategories.ResetAthletes,Reassign athletes,Reasignar Atletas,Réassigner les athlètes,إعادة تعيين الرياضيين
ResetCategories.ResetCategories,Reassign categories,Reasignar Divisiones de P.C.,Réassigner les catégories,إعادة تعيين الفئات
ResetCategories.ResetCategoriesMouseOver,Recompute categories based on currently active age groups.,Recalcule las divisiones de P.C. según los grupos de edad حاليا,Recalculer les catégories sur la base des groupes d'âge activés,إعادة حساب الفئات بناءً على مجموعات العمر النشطة حالياً.
RecomputeRanks,Recompute Ranks,Recalcular Ubicación,Recalculer les rangs,إعادة حساب الترتيب
Referee,Referee,Árbitro,Arbitre,الحكم
Referee_Mobile_Device,Referee (on mobile devices),Áرbitro (para dispositivos moviles),Arbitre (sur appareils mobiles),الحكم (على الأجهزة المحمولة)
Referee1,Referee 1,Árbitro 1,Arbitre 1,الحكم 1
Referee2,Referee 2,Áرbitro 2,Arbitre 2,الحكم 2
Referee3,Referee 3,Áرbitro 3,Arbitre 3,الحكم 3
RefereeDecisions,Referee Decisions,Decisiones de los Árbitros,Décisions des officiels,قرارات الحكام
Competition.announcerLiveDecisions,Referee decisions visible to announcer,Decisiones de los árbitros visibles para el anunciador,Décisions des arbitres visibles à l'annonceur,قرارات الحكام المرئية للمعلق
Referees_Jury,Referees and Jury,Áرbitros y Jurado,Arbitres et Jury,الحكام واللجنة
Preparation_Registration,Registration,Registro,Inscriptions,التسجيل
Registration,Registration,Inscripciones,Inscriptions,التسجيل
Reload_group,Reload session from database.,Recargar la tanda desde la base de datos.,Recharger le plateau à partir de la base de données,إعادة تحميل الجلسة من قاعدة البيانات.
reloadTranslation,Reload translation file,Recargar el Archivo de ترجمة,Recharger le fichier de traduction,إعادة تحميل ملف الترجمة
Requested_weight,Requested Weight,Peso Solicitado,Poids demandé,الوزن المطلوب
Scoreboard.RequestedWeight,Requested Weight,Peso solicitado,Poids demandé,الوزن المطلوب
Results.RequestedWeight,Requested Weight,Peso solicitado,Poids demandé,الوزن المطلوب
EVENT_ForceTime,reset timer explicitly,Reiniciar reloj,réinitialiser le chrono,إعادة تعيين المؤقت
Reset1min,Reset to 1 min,Reiniciar a 1 min,Réinitialiser à 1 min.,إعادة تعيين إلى دقيقة واحدة
Reset2min,Reset to 2 min,Reiniciar a 2 min,Réinitialiser à 2 min.,إعادة تعيين إلى دقيقتين
ResultDocuments,Result Documents,Documentos de resultados,Documents de résultats,وثائق النتائج
Results,Results,Resultados,Résultats,النتائج
PublicMsg.GroupDone,Results,Resultados,Résultats,النتائج
robi,Robi,Robi,Robi,روبي
Results.Robi,Robi,Robi,Robi,روبي
Competition.roundRobinOrder,"Round-Robin Order (all 1st lifts, all 2nd, all 3rd)","Orden Round-Robin (todos los primeros levantamientos, todos los segundos levantamientos, todos los terceros levantamientos)","À la ronde (tous les 1er essais, tous les 2e, tous les 3e)","ترتيب الجولة (جميع الرفعات الأولى، جميع الرفعات الثانية، جميع الرفعات الثالثة)"
RunLiftingGroup,Run Lifting Session,Tanda de Competencia,Groupe de compétition,تشغيل جلسة الرفع
Score,Score,Puntuación,Score,النتيجة
ScoreboardWLeadersTitle,Score+Leaders,Puntuación + Líderes,Tableau+Meneurs,ترتيب النقاط + القادة
Scoreboard,Simple Scoreboard,Marcador sencillo,Tableau simple de résultats,لوحة نتائج بسيطة
ScoreboardMultiRanksButton,"Scoreboard, Multiple Age Groups","Marcador, grupos de edad","Tableau, groupes d'âge",لوحة النتائج، مجموعات عمرية متعددة
ScoreboardMultiRanksTitle,"Scoreboard, Multiple Age Groups","Marcador, varios grupos de edad","Tableau, rangs multiples",لوحة النتائج، مجموعات عمرية متعددة
Scoreboards,Scoreboards,Marcadores,Tableaux d'affichage,لوحات النتائج
Config.UpdateKey,Secret update key,Clave de Actualización Secreta,Clé secrète de mise à jour (update key),مفتاح التحديث السري
SelectPlatform,Select Platform,Seleccionar Plataforma,Choisir la plateforme,اختر المنصة
ShowResults,Show Results,Mostrar Resultados,Afficher النتائج
EVENT_TimeOver,signal time over,Señal de Tiempo Concluido,signaler que le temps est écoulé,إشارة انتهاء الوقت
Scoreboard.Sinclair,Sinclair,Sinclair,Sinclair,سينكلير
sinclair,Sinclair,Sinclair,Sinclair,سينكلير
Results.Sinclair,Sinclair,Sinclair,Sinclair,سينكلير
Competition.competitionSite,Site,Lugar,Site,الموقع
smm,SM(H)F,SM(H)F,SM(H)F,SM(H)F
smhf,SM(H)F,SM(H)F,SM(H)F,SM(H)F
Snatch_short,Sn.,Arr.,Arr.,خطف
Card.snatch,Snatch,Arranque,Arraché,خطف
Scoreboard.Snatch,Snatch,Arranque,Arraché,خطف
Snatch,Snatch,Arranque,Arraché,خطف
Results.Snatch,Snatch,Arr.,Arraché,خطف
Results.Snatch_abbrev,Snatch,Arr.,Arr.,خطف
Snatch_number,Snatch #{0},Arranque #{0},Arraché #{0},خطف #{0}
Snatch1,snatch 1,Arr 1,Arraché 1,خطف 1
Snatch2,snatch 2,Arr 2,Arraché 2,خطف 2
Snatch3,snatch 3,Arr 3,Arraché 3,خطف 3
SnatchDecl_,Snatch Decl.,Arr Decl,Décl. Arr.,خطف إعلان
Snatch_Declaration,Snatch Declaration,Declaracion de Arranque,Déclaration Arraché,إعلان الخطف
SnatchRank,Snatch Rank,Ubic. Arr.,Rang Arr.,ترتيب الخطف
SourceDocumentation,Source and Documentation,Fuente y Documentación,Code source et documentation,المصدر والوثائق
Division.Special,Special,Especial,Spécial,خاص
ThanksToAll,Special thanks to Stepan Pesterev for feedback and testing.<br>,Un agradecimiento especial a Stepan Pesterev por sus comentarios y pruebas. <br>,Merci à Stepan Pesterev pour commentaires et essais.<br>,شكر خاص لستيبان بيسترييف على ملاحظاته واختباراته.
AgeGroup.SR,SR,SR,SR,كبار
Scoreboard.Sr,Sr,Sr,Sr,كبار
Results.Sr,Sr,Sr,Sr,كبار
Scoreboard.Start,Start,Orden,Départ,ابدأ
Results.Start,Start,Orden,Départ,ابدأ
Results.Start,Start,Inico,Dép.,ابدأ
Card.startNumber,Start #,N° Inicio,# Départ,رقم البدء
EVENT_BreakStarted,start break,Inicio des Descanso,démarrer une pause,بدء الاستراحة
EVENT_TimeStarted,start clock,Iniciar Cronómetro,démarrer le chrono,بدء الساعة
StartDisplays,Start Displays,Marcadores,Démarrer les affichages,بدء العرض
EVENT_JuryDecision,start jury deliberation,Iniciar Deliberación del Jurado,démarrer la délibération du jury,بدء تداول اللجنة
startLifting,Start Lifting,Iniciar Levantamiento,Débuter les levers,بدء الرفع
EVENT_StartLifting,start lifting,Empezar a Levantar,démarrer les levers,بدء الرفع
StartingList,Start List,Lista de inicio,Liste de départ,قائمة البدء
StartList.StartList,Start List,Lista de inicio,Liste de départ,قائمة البدء
StartNumber,Start Number,Número de inicio,Numéro de départ,رقم البدء
StartNumbersNotSet,Start numbers were not assigned. Use the Weigh-in page.,Los números de inicio no han sido asignados. Utilice la página de pesaje.,Les numéros de départ n'ont pas été attribués. Utiliser la page de pesée.,لم يتم تعيين أرقام البدء. استخدم صفحة الوزن.
StartTime_StartList,Start Time,Hora de inicio,Heure de début,وقت البدء
StartTime,Start Time,Hora de inicio,Heure de début,وقت البدء
Start_,Start#,Iniciar#,#Départ,ابدأ#
Card.startingWeight,Starting Weight,Peso inicial,Poids de départ,وزن البداية
RuleViolation.rule15_20Violated,Starting weight rule violation: Missing {5}kg.,Violación de la regla de الوزن الابتدائي: Falta {5} kg.,Violation de la règle des poids initiaux: Il manque {5} kg.
TeamResults.Status,Status (Athletes Counted/Team Size),Estado (atletas contados / tamaño del equipo),Statut (Athlètes comptés/Taille d'équipe),الحالة (عدد الرياضيين / حجم الفريق)
EVENT_TimeStopped,stop clock,Detener el reloj,arrèter le chrono,إيقاف الساعة
Card.team,Team,Equipo,Équipe,الفريق
Scoreboard.Team,Team,Equipo,Équipe,الفريق
Team,Team,Equipo,Équipe,الفريق
Results.Team,Team,Equipo,Équipe,الفريق
TeamMember?,Team Member?,Miembro de Equipo?,Membre de l'équipe?,عضو الفريق؟
TeamResults.Title,Team Results,Resultados por Equipos,Résultats par équipe,نتائج الفرق
Competition.teamSizeInvalid,Team size must be a number ≤ 99,El tamaño del equipo debe ser un número ≤ 99,La taille d'équipe doit être un nombre ≤ 99,حجم الفريق يجب أن يكون رقمًا أقل من أو يساوي 99
Results.TeamList,Teams,Equipos,Équipes,الفرق
TechnicalController,Technical Controller,Controlador Técnico,Contrôleur Technique,المراقب الفني
BreakType.TECHNICAL,Technical Issue,Inconveniente Técnico,Problème technique,مشكلة فنية
TOScreens,Technical Official Screens (select the correct platform above before clicking),Pantallas de Árbitros (seleccione المنصة الصحيحة أعلاه قبل النقر),Écrans des officiels (choisir le plateau ci-dessus avant de cliquer),شاشات المسؤولين الفنيين (اختر المنصة الصحيحة أعلاه قبل النقر)
SoundSystemProblem,"Technical problem with Sound: Signals will not be emitted by the main computer.<br>If the problem persists, switch to browser sounds or restart the competition system.","Problema técnico con el sonido: la computadora principal no emitió señales. <br> Si el problema persiste, cambie a los sounds del navegador o reinicie el sistema de competencia.","Problème technique avec le son: les sons ne seront pas émis par l'ordinateur.<br>Si le problème persiste, utilisez le son sur les navigateurs ou relancez le système.",مشكلة تقنية في الصوت: لن تصدر الكمبيوتر الرئيسي إشارات. إذا استمرت المشكلة، قم بالتبديل إلى أصوات المتصفح أو أعد تشغيل نظام المنافسة.
ThanksToFHQ,Thanks to the Quebec Weightlifting Federation for supporting the initial development of the software.,Gracias a la Federación de Halterofilia de Quebec por دعم desarrollo inicial del software.,Merci à la Fédération d'haltérophilie du Québec d'avoir soutenu le développement initial du projet.
ThanksToTranslators,Thanks to the translators (in random order):\u00a0,Gracias a los traductores (en orden aleatorio):\u00a1,Merci aux traducteurs (dans un ordre aléatoire)\u00a0:\u00a0
Competition.announceLiverDecisionsExplanation,"The announcer sees each referee's decisions live, immediately as it is entered.","El Anunciador ve las decisiones de cada Árbitro en vivo, inmediatamente cuando se ingresa.","L'annonceur voit les décisions dès que chaque arbitre la fournit, en direct.","يرى المعلق قرارات كل حكم مباشرة، فور إدخالها."
SystemURL,The competition system is reachable using the following address(es):,Se يمكن الوصول إلى نظام المنافسة باستخدام العنوان (العناوين) التالية:,Le système est accessible en spécifiant:
Registration.emptyNameWarning,The program stops reading at the first empty family name - use ? if family name unknown,"El programa deja de leer en el primer apellido vacío - usar ""?"" si se desconoce el apellido",Le programme cesse de lire au premier nom de famille vide - utiliser ? si le nom est inconnu
WrittenJFL,"The software is written and maintained by Jean-François Lamy, IWF International Technical Official Category 1.","El software está escrito y mantenido por Jean-François Lamy, IWF International Technical Official Category 1.","Le système a été écrit et est mis à jour par Jean-François Lamy, Officiel Technique IWF catégorie 1",تمت كتابة البرنامج وصيانته بواسطة جان-فرانسوا لامي، المسؤول الفني الدولي في الاتحاد الدولي لرفع الأثقال الفئة 1.
ChangesGroupEverywhere,This changes the current session for all displays and screens associated with the platform,Esto cambia la tanda الحالية للتطبيقات والأجهزة المرتبطة بالمنصة,Ceci change le plateau courant sur tous les écrans et affichages associés à ce plateau
Warning_GroupLifting,This session is currently lifting on platform,Esta tanda حاليا ترفع على المنصة,Ce plateau est actuellement en compétition sur la plateforme
Copyright2009,This software is Copyright © 2009-,Este software tiene حقوق الطبع والنشر © 2009-,Ce logiciel est sous droit d'auteur - Copyright © 2009-
LicenseUsed,This software is made available under the <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,Este software está disponible bajo la <a href='https://opensource.org/licenses/NPOSL-3.0'> Licencia de software abierta sin fines de lucro 3.0 </a>.,Ce logiciel est disponible selon les termes de la licence <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.
TCRRCompliance,This software is meant to comply with the IWF Technical Competition Rules and Regulations (TCRR) and with the Masters Weightlifting rules,Este software esta destinado a cumplir مع القواعد الفنية للمنافسة IWF و (TCRR) و مع قواعد Masters,"Ce logiciel respecte les règles techniques de compétition IWF (TCRR) en vigueur à sa publication, ainsi que les règles de la fédération Masters Weightlifting."
Warning_ClearAthleteLifts,This will clear all lifting data for the athletes currently displayed except for initial declarations.<br>Are you sure?,Esto borrará البيانات الخاصة بالرفع للرياضيين المعروضين حالياً باستثناء التصريحات الأولية.<br>¿Está sure?,Ceci va vider les essais pour les athlètes actuellement affichés<br>Êtes-vous certain?
Warning_DeleteAthletes,This will delete the athletes currently displayed from the database.<br>Are you sure?,Esto borrará البيانات الخاصة بالرفع للرياضيين المعروضين حالياً باستثناء التصريحات الأولية.<br>¿Está sure?,Ceci va effacer les athlètes actuellement affichés<br>Êtes-vous certain?
PublicMsg.TimeBeforeSnatch,Time before first lift,Tiempo Antes del Primer Levantamiento,Décompte avant le premier lever,الوقت قبل الرفع الأول
PublicMsg.BeforeIntroduction,Time before introduction,Tiempo antes de la Introducción,Décompte avant la présentation,الوقت قبل التقديم
